"","x"
"640",137
"641",143
"642",144
"643",111
"644",125
"645",127
"646",131
"647",135
"648",136
"649",126
"650",133
"651",160
"652",123
"653",127
"654",130
"655",134
"656",136
"657",152
"658",153
"659",124
"660",129
"661",133
"662",141
"663",142
"664",146
"665",160
"666",161
"667",205
"668",123
"669",125
"670",128
"671",135
"672",139
"673",153
"674",127
"675",135
"676",139
"677",143
"678",149
"679",150
"680",153
"681",126
"682",141
"683",147
"684",148
"685",161
"686",204
"687",125
"688",132
"689",134
"690",136
"691",138
"692",108
"693",111
"694",119
"695",123
"696",135
"697",150
"698",130
"699",134
"700",138
"701",145
"702",166
"703",124
"704",126
"705",142
"706",125
"707",130
"708",132
"709",152
"710",123
"711",127
"712",128
"713",131
"714",139
"715",150
"716",111
"717",123
"718",125
"719",130
"720",138
"721",118
"722",119
"723",122
"724",144
"725",201
"726",111
"727",130
"728",132
"729",136
"730",166
"731",172
"732",179
"733",127
"734",128
"735",135
"736",145
"737",147
"738",148
"739",151
"740",204
"741",126
"742",129
"743",146
"744",147
"745",151
"746",126
"747",133
"748",146
"749",122
"750",128
"751",144
"752",149
"753",150
"754",119
"755",122
"756",137
"757",143
"758",150
"759",132
"760",140
"761",151
"762",166
"763",204
"764",126
"765",141
"766",142
"767",129
"768",140
"769",141
"770",148
"771",151
"772",129
"773",140
"774",147
"775",204
"776",128
"777",143
"778",119
"779",128
"780",131
"781",135
"782",143
"783",144
"784",140
"785",141
"786",145
"787",147
"788",125
"789",134
"790",153
"791",125
"792",127
"793",128
"794",152
"795",156
"796",163
"797",167
"798",205
"799",158
"800",165
"801",206
"802",154
"803",167
"804",169
"805",170
"806",205
"807",163
"808",206
"809",155
"810",162
"811",165
"812",180
"813",161
"814",165
"815",204
"816",124
"817",126
"818",164
"819",205
"820",126
"821",129
"822",159
"823",165
"824",204
"825",205
"826",206
"827",158
"828",165
"829",166
"830",168
"831",180
"832",204
"833",207
"834",154
"835",157
"836",167
"837",205
"838",206
"839",160
"840",169
"841",205
"842",155
"843",158
"844",159
"845",161
"846",162
"847",204
"848",206
"849",132
"850",138
"851",145
"852",162
"853",168
"854",171
"855",179
"856",185
"857",204
"858",154
"859",156
"860",163
"861",162
"862",166
"863",171
"864",207
"865",156
"866",164
"867",205
"868",156
"869",166
"870",168
"871",185
"872",186
"873",207
"874",111
"875",138
"876",177
"877",179
"878",183
"879",185
"880",186
"881",175
"882",176
"883",180
"884",184
"885",186
"886",207
"887",178
"888",184
"889",173
"890",176
"891",177
"892",184
"893",208
"894",173
"895",175
"896",177
"897",181
"898",186
"899",75
"900",98
"901",172
"902",175
"903",176
"904",181
"905",183
"906",186
"907",190
"908",195
"909",208
"910",174
"911",180
"912",184
"913",138
"914",166
"915",172
"916",185
"917",158
"918",162
"919",173
"920",178
"921",184
"922",207
"923",176
"924",177
"925",186
"926",184
"927",74
"928",75
"929",106
"930",111
"931",172
"932",177
"933",173
"934",174
"935",175
"936",178
"937",180
"938",182
"939",189
"940",208
"941",166
"942",171
"943",172
"944",179
"945",186
"946",171
"947",172
"948",173
"949",176
"950",177
"951",181
"952",185
"953",207
"954",188
"955",192
"956",193
"957",194
"958",208
"959",187
"960",192
"961",194
"962",184
"963",193
"964",208
"965",209
"966",90
"967",98
"968",99
"969",177
"970",194
"971",195
"972",208
"973",209
"974",187
"975",188
"976",193
"977",187
"978",189
"979",192
"980",208
"981",209
"982",187
"983",188
"984",190
"985",208
"986",177
"987",190
"988",208
"989",39
"990",85
"991",88
"992",92
"993",93
"994",94
"995",96
"996",97
"997",103
"998",23
"999",26
"1000",31
"1001",4
"1002",8
"1003",66
"1004",68
"1005",82
"1006",107
"1007",120
"1008",113
"1009",118
"1010",119
"1011",137
"1012",202
"1013",113
"1014",201
"1015",203
"1016",202
"1017",129
"1018",140
"1019",145
"1020",148
"1021",159
"1022",161
"1023",162
"1024",165
"1025",166
"1026",126
"1027",154
"1028",156
"1029",160
"1030",161
"1031",163
"1032",164
"1033",169
"1034",206
"1035",155
"1036",157
"1037",161
"1038",163
"1039",165
"1040",205
"1041",162
"1042",168
"1043",171
"1044",173
"1045",180
"1046",186
"1047",175
"1048",177
"1049",184
"1050",187
"1051",189
"1052",190
"1053",193
"1054",194
"1055",195
"1056",189
"1057",191
"1058",193
"1059",210
"1060",209
