Inference for Stan model: anon_model_2a2618234cef00ff4e7128665fd75675.
4 chains, each with iter=500; warmup=250; thin=1; 
post-warmup draws per chain=250, total post-warmup draws=1000.

                        mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
var_ind_temporal[48]    0.02  1.5e-3   0.01 1.3e-3 6.2e-3   0.01   0.02   0.06     95   1.04
var_ind_temporal[49]    0.02  1.9e-3   0.03 1.7e-3 7.4e-3   0.02   0.03    0.1    175   1.01
var_ind_temporal[50]    0.02  1.1e-3   0.02 4.6e-3   0.01   0.02   0.03   0.07    267   1.02
var_ind_temporal[51]  8.2e-3  6.9e-4 8.7e-3 9.1e-4 2.9e-3 5.4e-3   0.01   0.03    158   1.01
var_ind_temporal[52]    0.01  6.3e-4 7.7e-3 1.3e-3 4.6e-3 8.1e-3   0.01   0.03    150   1.01
var_ind_temporal[53]    0.02  1.3e-3   0.02 1.5e-3 5.4e-3   0.01   0.02   0.06    139   1.01
var_ind_temporal[54]  5.3e-3  5.7e-4 5.8e-3 3.6e-4 1.9e-3 3.4e-3 6.6e-3   0.02    104   1.01
var_ind_temporal[55]  6.5e-3  4.9e-4 6.9e-3 5.7e-4 2.2e-3 4.5e-3 8.1e-3   0.03    198   1.03
var_ind_temporal[56]    0.17  2.9e-3   0.07   0.07   0.11   0.15    0.2   0.35    672    1.0
var_ind_temporal[57]  8.1e-3  1.1e-3 8.9e-3 6.4e-4 2.5e-3 5.5e-3   0.01   0.03     61   1.04
var_ind_temporal[58]    0.01  8.9e-4   0.01 1.8e-3 5.6e-3   0.01   0.02   0.05    234   1.02
var_ind_temporal[59]    0.01  7.4e-4   0.01 1.5e-3 5.3e-3 9.1e-3   0.02   0.04    192   1.02
var_ind_temporal[60]  7.7e-3  6.9e-4 8.4e-3 7.2e-4 2.7e-3 5.2e-3 9.8e-3   0.03    148   1.02
var_ind_temporal[61]  6.6e-3  9.3e-4 8.7e-3 3.9e-4 1.6e-3 3.7e-3 8.3e-3   0.03     88   1.05
var_ind_temporal[62]    0.03  9.8e-4   0.02 3.7e-3   0.01   0.02   0.03   0.07    374    1.0
var_ind_temporal[63]  6.1e-3  4.4e-4 5.7e-3 6.0e-4 2.3e-3 4.4e-3 8.0e-3   0.02    170   1.02
var_ind_temporal[64]    0.01  8.2e-4   0.01 1.5e-3 4.2e-3 7.1e-3   0.01   0.04    202   1.01
var_ind_temporal[65]    0.03  1.6e-3   0.02 1.8e-3   0.01   0.02   0.04   0.08    177   1.02
var_ind_temporal[66]  8.1e-3  9.8e-4 9.7e-3 5.3e-4 2.4e-3 4.8e-3   0.01   0.03     98   1.06
var_ind_temporal[67]    0.02  1.4e-3   0.02 1.2e-3 6.4e-3   0.01   0.03   0.07    201   1.03
var_ind_temporal[68]    0.01  1.1e-3   0.01 6.4e-4 3.2e-3 6.5e-3   0.01   0.04    127   1.05
var_ind_temporal[69]  9.8e-3  1.4e-3   0.01 6.1e-4 2.6e-3 5.5e-3   0.01   0.04    114   1.03
var_ind_temporal[70]    0.02  1.1e-3   0.02 2.6e-3 8.0e-3   0.01   0.03   0.08    291   1.01
var_ind_temporal[71]  7.6e-3  7.1e-4 7.9e-3 8.5e-4 2.8e-3 5.2e-3 9.4e-3   0.03    124   1.03
var_ind_temporal[72]    0.01  1.5e-3   0.02 9.0e-4 4.1e-3 9.0e-3   0.02   0.06    144   1.02
var_ind_temporal[73]  7.5e-3  8.8e-4 9.7e-3 4.1e-4 1.9e-3 4.5e-3 8.8e-3   0.03    122   1.05
var_ind_temporal[74]    0.18  2.6e-3   0.07   0.08   0.13   0.17   0.21   0.34    751   1.01
var_ind_temporal[75]    0.01  1.3e-3   0.01 9.8e-4 4.0e-3 7.9e-3   0.02   0.05    130   1.03
var_ind_temporal[76]  9.1e-3  7.9e-4 9.2e-3 8.9e-4 3.3e-3 6.3e-3   0.01   0.04    137   1.02
var_ind_temporal[77]  8.9e-3  8.2e-4 9.0e-3 3.6e-4 2.9e-3 6.1e-3   0.01   0.03    123   1.01
var_ind_temporal[78]    0.02  1.6e-3   0.02 1.1e-3 4.1e-3 9.3e-3   0.02   0.07    142   1.02
var_ind_temporal[79]    0.01  1.1e-3   0.01 5.6e-4 2.8e-3 6.4e-3   0.01   0.05    149   1.01
var_ind_temporal[80]    0.02  1.4e-3   0.02 1.1e-3 6.0e-3   0.01   0.02   0.06    148   1.03
var_ind_temporal[81]    0.21  5.4e-3   0.12   0.06   0.13   0.19   0.26    0.5    478    1.0
var_ind_temporal[82]     0.2  3.7e-3   0.09   0.09   0.15   0.18   0.24   0.41    634    1.0
var_ind_temporal[83]    0.03  1.1e-3   0.02 5.0e-3   0.01   0.02   0.04   0.08    388    1.0
var_ind_temporal[84]  9.8e-3  1.3e-3   0.01 3.9e-4 2.3e-3 5.8e-3   0.01   0.04     87   1.06
var_ind_temporal[85]    0.01  1.7e-3   0.02 4.5e-4 3.1e-3 7.1e-3   0.01   0.06    179   1.02
var_ind_temporal[86]    0.01  7.3e-4   0.01 1.1e-3 4.4e-3 7.9e-3   0.01   0.04    198   1.02
var_ind_temporal[87]    0.01  9.6e-4   0.01 1.2e-3 5.3e-3   0.01   0.02   0.05    212   1.01
var_ind_temporal[88]    0.02  5.5e-3   0.03 8.0e-4 3.4e-3 8.0e-3   0.02    0.1     28    1.1
var_ind_temporal[89]  6.2e-3  7.0e-4 7.0e-3 4.9e-4 2.0e-3 4.0e-3 7.4e-3   0.03    100   1.02
var_ind_temporal[90]    0.01  1.9e-3   0.02 9.0e-4 4.0e-3 8.9e-3   0.02   0.05     77   1.04
var_ind_temporal[91]    0.01  1.2e-3   0.01 8.0e-4 3.3e-3 7.4e-3   0.02   0.05    137   1.04
var_ind_temporal[92]  9.9e-3  8.8e-4   0.01 6.5e-4 3.3e-3 6.7e-3   0.01   0.04    153   1.02
var_ind_temporal[93]  9.1e-3  6.6e-4 8.5e-3 9.5e-4 3.5e-3 6.6e-3   0.01   0.03    167   1.04
var_ind_temporal[94]    0.01  1.4e-3   0.02 1.2e-3 4.9e-3 9.8e-3   0.02   0.05    117   1.02
var_ind_temporal[95]    0.01  1.3e-3   0.02 9.1e-4 3.8e-3 8.3e-3   0.02   0.06    155   1.01
var_ind_temporal[96]    0.01  1.5e-3   0.02 8.1e-4 3.6e-3 7.6e-3   0.02   0.05    103   1.02
var_ind_temporal[97]  8.4e-3  6.7e-4 8.1e-3 9.1e-4 3.6e-3 6.3e-3   0.01   0.03    146   1.02
var_ind_temporal[98]    0.02  1.1e-3   0.01 1.1e-3 5.9e-3   0.01   0.02   0.05    165   1.02
var_ind_temporal[99]  8.1e-3  7.0e-4 8.6e-3 5.8e-4 2.6e-3 5.5e-3   0.01   0.03    149   1.03
var_ind_temporal[100]   0.15  2.7e-3   0.07   0.06    0.1   0.13   0.18   0.32    619    1.0
var_ind_temporal[101] 6.9e-3  1.0e-310.0e-3 3.4e-4 1.7e-3 3.6e-3 7.9e-3   0.03     99   1.06
var_ind_temporal[102]   0.01  7.0e-4 8.8e-3 1.3e-3 4.4e-3 7.9e-3   0.01   0.03    157   1.02
var_ind_temporal[103]   0.01  1.4e-3   0.02 7.0e-4 4.3e-3 9.2e-3   0.02   0.06    139   1.03
var_ind_temporal[104]   0.14  3.6e-3   0.08   0.04   0.09   0.12   0.18   0.34    495   1.01
var_ind_temporal[105]   0.02  1.5e-3   0.02 1.6e-3 5.5e-3   0.01   0.02   0.07    139   1.02
var_ind_temporal[106]   0.23  3.0e-3    0.1   0.09   0.16   0.21   0.27   0.47   1000    1.0
var_ind_temporal[107]   0.02  8.0e-4   0.01 2.4e-3 7.1e-3   0.01   0.02   0.05    262   1.02
var_ind_temporal[108] 5.6e-3  4.9e-4 5.9e-3 4.5e-4 2.4e-3 4.1e-3 7.0e-3   0.02    142   1.02
var_ind_temporal[109]   0.01  9.0e-4   0.01 1.4e-3 4.7e-3 8.9e-3   0.02   0.04    161   1.04
var_ind_temporal[110] 8.1e-3  6.6e-4 8.6e-3 6.5e-4 2.5e-3 5.3e-3   0.01   0.04    169   1.03
var_ind_temporal[111]   0.01  1.2e-3   0.01 1.4e-3 4.2e-3 7.3e-3   0.01   0.04     78   1.05
var_ind_temporal[112] 5.6e-3  5.0e-4 6.0e-3 5.8e-4 1.9e-3 3.6e-3 7.2e-3   0.02    147   1.03
var_ind_temporal[113]   0.01  1.1e-3   0.01 9.2e-4 3.9e-3 8.1e-3   0.01   0.04     92   1.02
var_ind_temporal[114]   0.02  1.8e-3   0.02 1.3e-3 5.0e-3   0.01   0.02   0.08    152   1.01
var_ind_temporal[115] 9.7e-3  9.9e-4   0.01 1.0e-3 3.2e-3 6.4e-3   0.01   0.04    115   1.02
var_ind_temporal[116] 5.2e-3  5.0e-4 5.8e-3 4.9e-4 1.7e-3 3.3e-3 6.6e-3   0.02    134   1.03
var_ind_temporal[117]   0.01  1.3e-3   0.01 5.0e-4 3.0e-3 6.4e-3   0.01   0.06    122   1.03
var_ind_temporal[118]   0.01  1.0e-3   0.01 9.0e-4 4.0e-3 8.1e-3   0.02   0.04    130   1.03
var_ind_temporal[119]   0.01  9.5e-4   0.01 1.5e-3 4.7e-3 8.3e-3   0.02   0.05    167   1.02
var_ind_temporal[120]   0.01  1.1e-3   0.01 6.1e-4 3.1e-3 6.5e-3   0.01   0.04    113   1.03
